mappedTown,visitTown,mappedPoolId,mappedByUser,mappedByUserId,mappedDateText,mappedDateUnixSeconds,mappedLatitude,mappedLongitude,mappedConfidence,mappedSource,mappedSource2,mappedPhotoNumber,mappedLocationAccuracy,mappedShape,mappedComments,createdAt,updatedAt,mappedlocationInfoDirections,mappedLandownerPermission,mappedLandownerInfo,mappedLocationUncertainty,mappedTownId,mappedPoolLocation,mappedPoolBorder,mappedLandownerName,mappedLandownerAddress,mappedLandownerTown,mappedLandownerStateAbbrev,mappedLandownerZip5,mappedLandownerPhone,mappedLandownerEmail,mappedPoolStatus,mappedMethod,mappedObserverUserName,mappedUpdatedAt,mappedCreatedAt,poolId,latitude,longitude,visitId,visitIdLegacy,visitUserName,visitPoolId,visitNavMethod,visitCertainty,visitLocatePool,visitDate,visitTownName,visitLocationComments,visitDirections,visitCoordSource,visitLatitude,visitLongitude,visitVernalPool,visitPoolType,visitInletType,visitOutletType,visitForestCondition,visitForestUpland,visitHabitatComment,visitHabitatAgriculture,visitHabitatLightDev,visitHabitatHeavyDev,visitHabitatPavedRd,visitHabitatDirtRd,visitHabitatPowerline,visitHabitatOther,visitMaxDepth,visitWaterLevelObs,visitHydroPeriod,visitMaxWidth,visitMaxLength,visitPoolTrees,visitPoolShrubs,visitPoolEmergents,visitPoolFloatingVeg,visitSubstrate,visitDisturbDumping,visitDisturbSiltation,visitDisturbVehicleRuts,visitDisturbRunoff,visitDisturbDitching,visitDisturbOther,visitWoodFrogAdults,visitWoodFrogLarvae,visitWoodFrogEgg,visitWoodFrogEggHow,visitSpsAdults,visitSpsLarvae,visitSpsEgg,visitSpsEggHow,visitJesaAdults,visitJesaLarvae,visitJesaEgg,visitJesaEggHow,visitBssaAdults,visitBssaLarvae,visitBssaEgg,visitBssaEggHow,visitFairyShrimp,visitFingerNailClams,visitSpeciesOther1,visitSpeciesOther2,visitSpeciesComments,visitFish,visitFishCount,visitFishSizeSmall,visitFishSizeMedium,visitFishSizeLarge,visitPoolPhoto,visitUserId,createdAt,updatedAt,visitPoolMapped,visitUserIsLandowner,visitLandownerPermission,visitLandowner,visitTownId,visitFishSize,visitWoodFrogPhoto,visitWoodFrogNotes,visitSpsPhoto,visitSpsNotes,visitJesaPhoto,visitJesaNotes,visitBssaPhoto,visitBssaNotes,visitFairyShrimpPhoto,visitFairyShrimpNotes,visitFingerNailClamsPhoto,visitFingerNailClamsNotes,visitNavMethodOther,visitPoolTypeOther,visitSubstrateOther,visitSpeciesOtherName,visitSpeciesOtherCount,visitSpeciesOtherPhoto,visitSpeciesOtherNotes,visitLocationUncertainty,visitObserverUserName,visitWoodFrogiNat,visitSpsiNat,visitJesaiNat,visitBssaiNat,visitFairyShrimpiNat,visitFingerNailClamsiNat,visitSpeciesOtheriNat,visitUpdatedAt,visitCreatedAt,reviewId,reviewUserName,reviewUserId,reviewPoolId,reviewVisitIdLegacy,reviewVisitId,reviewQACode,reviewQAAlt,reviewQAPerson,reviewQADate,reviewQANotes,createdAt,updatedAt,reviewPoolStatus,reviewUpdatedAt,reviewCreatedAt
"{""townId"":0,""townName"":""Unknown"",""townCountyId"":0,""townCentroid"":null,""townBorder"":null}",,asdf1,asdf,,2019-06-07,,44.96032566,-73.31149065,,,,,,,"",2019-06-07 08:20:19.973557,2020-03-29 22:30:36.016134,,t,"",50,0,,,asdf,asdf,,,,,asdf@asdf.com,Potential,Aerial,,2020-03-29 22:30:36.016134,2019-06-07 08:20:19.973557,asdf1,44.96032566,-73.31149065,1676,,asdf,asdf1,Other,Not Sure,false,2019-06-14,"{""townId"":138,""townName"":""Barnard"",""townCountyId"":27,""townCentroid"":null,""townBorder"":null}",asdfadsf,,,43.91694400,-72.66805600,DontKnow,Other,Permanent Inlet,Permanent Outlet,Major logging,Mixed,1234123412341234asdfasdfads,t,t,t,t,t,t,asdfasdfasdfasdf,Knee-deep,Less than 50%,Semi-permanent,44,1234,11,22,33,44,Mud,f,f,f,f,t,"",,,,,,,,,,,,,,,,,,,,,,t,,,,,,0,2019-06-14 13:32:49.835446,2020-04-03 15:03:47.12798,f,t,f,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,2020-04-03 15:03:47.12798,2019-06-14 13:32:49.835446,3980,jloomis,0,asdf1,,1676,PROB-OTHER,"","",2020-03-29,"",2020-03-29 22:28:06.935901,2020-03-29 22:28:06.935901,Probable,2020-03-29 22:28:06.935901,2020-03-29 22:28:06.935901
"{""townId"":0,""townName"":""Unknown"",""townCountyId"":0,""townCentroid"":null,""townBorder"":null}",,asdf1,asdf,,2019-06-07,,44.96032566,-73.31149065,,,,,,,"",2019-06-07 08:20:19.973557,2020-03-29 22:30:36.016134,,t,"",50,0,,,asdf,asdf,,,,,asdf@asdf.com,Potential,Aerial,,2020-03-29 22:30:36.016134,2019-06-07 08:20:19.973557,asdf1,44.96032566,-73.31149065,1683,,asdf,asdf1,"","",false,2019-06-23,"{""townId"":0,""townName"":""Unknown"",""townCountyId"":0,""townCentroid"":{},""townBorder"":{}}","","",,44.98034238,-71.56494141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2019-06-23 08:16:19.828748,2020-04-03 15:03:47.12798,f,f,t,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,2020-04-03 15:03:47.12798,2019-06-23 08:16:19.828748,3982,jloomis,0,asdf1,,1683,CONF,"","",2020-03-29,"",2020-03-29 22:30:08.150763,2020-03-29 22:30:08.150763,Confirmed,2020-03-29 22:30:08.150763,2020-03-29 22:30:08.150763
"{""townId"":0,""townName"":""Unknown"",""townCountyId"":0,""townCentroid"":null,""townBorder"":null}",,asdf1,asdf,,2019-06-07,,44.96032566,-73.31149065,,,,,,,"",2019-06-07 08:20:19.973557,2020-03-29 22:30:36.016134,,t,"",50,0,,,asdf,asdf,,,,,asdf@asdf.com,Potential,Aerial,,2020-03-29 22:30:36.016134,2019-06-07 08:20:19.973557,asdf1,44.96032566,-73.31149065,1681,,asdf,asdf1,"","",false,2019-06-20,"{""townId"":0,""townName"":""Unknown"",""townCountyId"":0,""townCentroid"":{},""townBorder"":{}}","","",,44.91680014,-71.64184570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2019-06-20 16:30:49.478197,2020-04-03 15:03:47.12798,f,f,f,"{""disabled"": true}",,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,2020-04-03 15:03:47.12798,2019-06-20 16:30:49.478197,3981,jloomis,0,asdf1,,1681,ERROR-LocAcc,"","",2020-03-29,"",2020-03-29 22:29:40.922928,2020-03-29 22:29:40.922928,Probable,2020-03-29 22:29:40.922928,2020-03-29 22:29:40.922928
"{""townId"":0,""townName"":""Unknown"",""townCountyId"":0,""townCentroid"":null,""townBorder"":null}",,asdf1,asdf,,2019-06-07,,44.96032566,-73.31149065,,,,,,,"",2019-06-07 08:20:19.973557,2020-03-29 22:30:36.016134,,t,"",50,0,,,asdf,asdf,,,,,asdf@asdf.com,Potential,Aerial,,2020-03-29 22:30:36.016134,2019-06-07 08:20:19.973557,asdf1,44.96032566,-73.31149065,1679,,asdf,asdf1,GPS,Certain,true,2019-06-19,"{""townId"":20,""townName"":""Swanton"",""townCountyId"":11,""townCentroid"":null,""townBorder"":null}","","",,43.91694400,-72.66805600,Yes,Isolated Forest Depression,Permanent Inlet,Permanent Outlet,Undisturbed,Deciduous,,,,,,,,,Hip-deep,Full,Permanent,33,99,0,1,2,3,Leaf litter,,,,,,,99,88,77,Estimated,99,55,44,Counted,99,22,11,Estimated,99,11,22,Counted,33,44,,,,,,,,,,0,2019-06-19 07:06:52.54623,2020-04-03 15:03:47.12798,t,f,t,"{""disabled"": true}",,,asdf,qwer,,asdf,,zxcv,,uiop,,hjkl,,"bnm,",,,,,0,,,,,,,,,,,,2020-04-03 15:03:47.12798,2019-06-19 07:06:52.54623,3983,jloomis,0,asdf1,,1679,ERROR,"","",2020-03-29,"",2020-03-29 22:30:35.982334,2020-03-29 22:30:35.982334,Potential,2020-03-29 22:30:35.982334,2020-03-29 22:30:35.982334
"{""townId"":0,""townName"":""Unknown"",""townCountyId"":0,""townCentroid"":null,""townBorder"":null}",,asdf11,asdf,,2019-10-07,,43.64654128,-72.36986180,,,,,,,Test pool to test changing pool status.,2019-10-07 19:33:42.798931,2019-10-07 19:36:31.191264,,f,"",50,0,,,,,,,,,,Probable,Known,asdf,2019-10-07 19:36:31.191264,2019-10-07 19:33:42.798931,asdf11,43.64654128,-72.36986180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{""townId"":0,""townName"":""Unknown"",""townCountyId"":0,""townCentroid"":null,""townBorder"":null}","{""townId"":0,""townName"":""Unknown"",""townCountyId"":0,""townCentroid"":null,""townBorder"":null}",asdf1111,asdf,,2019-08-22,,43.91694400,-72.66805600,,,,,,,"",2019-08-22 14:14:12.452875,2019-08-22 14:14:12.452875,,f,"",50,0,,,,,,,,,,Potential,Visited,,2019-08-22 14:14:12.452875,2019-08-22 14:14:12.452875,asdf1111,43.91694400,-72.66805600,1723,,asdf,asdf1111,"","",false,2019-08-22,,"","","",43.91694400,-72.66805600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,0,2019-08-22 14:15:53.261118,2020-04-03 15:03:47.12798,t,f,f,"{""disabled"": true}",0,,,,,,,,,,,,,,"",,,,,,,"",,,,,,,,,2020-04-03 15:03:47.12798,2019-08-22 14:15:53.261118,,,,,,,,,,,,,,,,
"{""townId"":169,""townName"":""Townshend"",""townCountyId"":25,""townCentroid"":null,""townBorder"":null}",,asdf2,asdf,,2019-06-15,,42.72911527,-72.46856689,,,,,,,"",2019-06-15 08:00:53.086442,2019-07-28 09:24:23.678292,,f,"",50,169,,,,,,,,,,Potential,Aerial,,2019-07-28 09:24:23.678292,2019-06-15 08:00:53.086442,asdf2,42.72911527,-72.46856689,1680,,asdf,asdf2,Other,Not Sure,false,2019-06-19,"{""townId"":37,""townName"":""Belvidere"",""townCountyId"":15,""townCentroid"":null,""townBorder"":null}",asdf,"",,42.72693373,-72.45847610,DontKnow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2019-06-19 12:03:10.474865,2020-04-03 15:03:47.12798,f,t,f,"{""disabled"": true}",,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,2020-04-03 15:03:47.12798,2019-06-19 12:03:10.474865,,,,,,,,,,,,,,,,
"{""townId"":79,""townName"":""Bolton"",""townCountyId"":7,""townCentroid"":null,""townBorder"":null}","{""townId"":0,""townName"":""Unknown"",""townCountyId"":0,""townCentroid"":null,""townBorder"":null}",asdf3,asdf,,2019-06-15,,44.77530199,-73.24854754,,,,,,,"",2019-06-15 08:15:01.565886,2019-07-28 09:24:23.678292,,f,"",50,79,,,,,,,,,,Potential,Aerial,,2019-07-28 09:24:23.678292,2019-06-15 08:15:01.565886,asdf3,44.77530199,-73.24854754,1721,,asdf,asdf3,Other,Certain,true,2019-08-08,,"","","",44.83103913,-73.30490112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,0,2019-08-08 15:07:44.021577,2020-04-03 15:03:47.12798,t,f,f,"{""disabled"": true}",0,,,,,,,,,,,,,,boat,,,,,,,"",,,,,,,,,2020-04-03 15:03:47.12798,2019-08-08 15:07:44.021577,,,,,,,,,,,,,,,,
"{""townId"":0,""townName"":""Unknown"",""townCountyId"":0,""townCentroid"":null,""townBorder"":null}",,asdf33,asdf,,2019-09-15,,43.91557817,-72.66893864,,,,,,,"",2019-09-15 07:19:42.910993,2019-09-15 07:46:09.10464,,f,"",50,0,,,,,,,,,,Potential,Visited,qwer,2019-09-15 07:46:09.10464,2019-09-15 07:19:42.910993,asdf33,43.91557817,-72.66893864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{""townId"":0,""townName"":""Unknown"",""townCountyId"":0,""townCentroid"":null,""townBorder"":null}","{""townId"":0,""townName"":""Unknown"",""townCountyId"":0,""townCentroid"":null,""townBorder"":null}",asdf34,asdf,,2019-09-02,,42.76395244,-73.26278938,,,,,,,asdfasdf,2019-09-16 11:53:30.698901,2019-09-16 12:05:45.238106,,t,"",50,0,,,,,,,,,,Potential,Known,uiop,2019-09-16 12:05:45.238106,2019-09-16 11:53:30.698901,asdf34,42.76395244,-73.26278938,1737,,asdf,asdf34,Other,Certain,true,2019-09-16,,i hope you don't have a cold,follow your nose,VT ANR Mapping website,42.74701217,-73.27469804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,https://s3.amazonaws.com/vpatlas.data/asdf34,0,2019-09-16 12:02:26.164162,2019-09-16 23:17:52.436692,t,f,t,"{""visitLandownerName"": ""zarniwoop"", ""visitLandownerEmail"": ""zw@thgttg.biz"", ""visitLandownerPhone"": ""111.222.3333"", ""visitLandownerAddress"": ""betelgeuse""}",0,,,,,,,,,,,,,,sense of smell,,,,,,,"",asdf,,,,,,,,2019-09-16 23:17:52.436692,2019-09-16 12:02:26.164162,,,,,,,,,,,,,,,,
"{""townId"":0,""townName"":""Unknown"",""townCountyId"":0,""townCentroid"":null,""townBorder"":null}","{""townId"":0,""townName"":""Unknown"",""townCountyId"":0,""townCentroid"":null,""townBorder"":null}",asdf4,asdf,,2019-06-15,,44.22648402,-72.94616339,,,,,,,"",2019-06-15 09:33:22.283747,2019-07-28 09:24:23.678292,,f,"",50,0,,,,,,,,,,Potential,Aerial,,2019-07-28 09:24:23.678292,2019-06-15 09:33:22.283747,asdf4,44.22648402,-72.94616339,1710,,asdf,asdf4,"","",false,2019-07-22,,"","","",44.22648402,-72.94616339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,,,,,,,0,2019-07-22 16:06:37.26935,2020-04-03 15:03:47.12798,t,f,f,"{""disabled"": true}",0,,C:\fakepath\Viewing Catspaw Sheer.pdf,,,,,,,,,,,,"",,,Gypsy spiders,22,,,10,,,,,,,,,2020-04-03 15:03:47.12798,2019-07-22 16:06:37.26935,,,,,,,,,,,,,,,,
"{""townId"":0,""townName"":""Unknown"",""townCountyId"":0,""townCentroid"":null,""townBorder"":null}","{""townId"":204,""townName"":""Richmond"",""townCountyId"":7,""townCentroid"":null,""townBorder"":null}",AW1,AW,0,2010-04-09,1270771200,44.41308283,-72.93712494,M,NRCS,OTHER, ,M,Point,"Added by Aaron from landowner WHIP data, with LO permission",,2019-07-28 20:32:23.79608,,f,,50,0,,,,,,,,,,Confirmed,Aerial,,2019-07-28 20:32:23.79608,,AW1,44.41308283,-72.93712494,1,167,AaronW,AW1,Prior Knowledge,Certain,false,2010-04-23,RICHMOND,,off Snipe Island Road,,42.72944054,-72.46514234,Yes,Isolated Forest Depression,No Inlet,Ephemeral Outlet,Minor logging,Mixed,,f,f,f,f,f,f,other habitat,,More than 50%,Ephemeral,20,100,0,0,0,0,Other Substrate,f,f,t,f,f,other disturbance,,0,100,Estimated,,0,50,Estimated,,0,,,,0,,,0,1,,,,,,0,0,0,,0,2019-06-12 09:44:57.49757,2020-04-03 15:03:47.12798,t,f,f,,204,,,,,,,,,,,,,,sheesh i hope this works!,,,,0,,,,,,,,,,,,2020-04-03 15:03:47.12798,2019-06-12 09:44:57.49757,2299,AaronW,0,AW1,167,1,CONF,,,,,2019-07-23 16:23:44.690054,2020-03-24 19:54:14.851314,Confirmed,2020-03-24 19:54:14.851314,2019-07-23 16:23:44.690054
"{""townId"":0,""townName"":""Unknown"",""townCountyId"":0,""townCentroid"":null,""townBorder"":null}","{""townId"":0,""townName"":""Unknown"",""townCountyId"":0,""townCentroid"":null,""townBorder"":null}",AW1,AW,0,2010-04-09,1270771200,44.41308283,-72.93712494,M,NRCS,OTHER, ,M,Point,"Added by Aaron from landowner WHIP data, with LO permission",,2019-07-28 20:32:23.79608,,f,,50,0,,,,,,,,,,Confirmed,Aerial,,2019-07-28 20:32:23.79608,,AW1,44.41308283,-72.93712494,1698,,asdf,AW1,"","",false,2019-07-12,"{""townId"":0,""townName"":""Unknown"",""townCountyId"":0,""townCentroid"":{},""townBorder"":{}}","","",,44.41308283,-72.93712494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,0,,,999,0,,,999,0,,,999,0,,,0,0,,,,,,,,,,0,2019-07-12 14:31:55.045981,2020-04-03 15:03:47.12798,f,f,f,,0,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,2020-04-03 15:03:47.12798,2019-07-12 14:31:55.045981,,,,,,,,,,,,,,,,
"{""townId"":0,""townName"":""Unknown"",""townCountyId"":0,""townCentroid"":null,""townBorder"":null}","{""townId"":204,""townName"":""Richmond"",""townCountyId"":7,""townCentroid"":null,""townBorder"":null}",AW2,AW,0,2010-04-09,1270771200,44.42508987,-72.92962147,M,NRCS,OTHER, ,M,Point,"Added by Aaron from landowner WHIP data, with LO permission",,2019-07-28 20:32:23.79608,,f,,,0,,,,,,,,,,Eliminated,Aerial,,2019-07-28 20:32:23.79608,,AW2,44.42508987,-72.92962147,2,174,AaronW,AW2,GPS,Certain,0,2010-04-23,RICHMOND,,Off Snipe Island Rd,,44.42447600,-72.92955300,No,Pool associated with larger wetland complex,No Inlet,Ephemeral Outlet,Minor logging,Deciduous,This wetland is primarily an seepage wetland- eggs are present in the two deepest spots only.  Unlikely to have hydroperiod most years.,f,f,f,f,f,f,,,More than 50%,Semi-permanent,30,150,20,,70,,Leaf litter,f,f,f,f,f,,,0,100,Estimated,,0,5,Counted,,0,,,,0,,,0,1,,,"Likely saturated year-round, standing water probably only early in spring.  Eggs located in deep pockets- in hole under upturned rootball and depression in center.",f,,0,0,0,,0,2019-06-12 09:44:57.49757,2020-04-03 15:03:47.12798,t,f,f,,204,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,2020-04-03 15:03:47.12798,2019-06-12 09:44:57.49757,2300,AaronW,0,AW2,174,2,NOT POOL,,AW,2012-02-07,,2019-07-23 16:23:44.690054,2020-03-24 19:54:14.851314,Eliminated,2020-03-24 19:54:14.851314,2019-07-23 16:23:44.690054
